location,acci_counts
"(40.726435, -74.005658)",131
"(40.7278806, -74.0054267)",124
"(40.7256753, -74.0057082)",0
"(40.7206388, -74.0052198)",77
"(40.7203422, -74.0054889)",0
"(40.721063, -73.998196)",242
"(40.71843, -74.000532)",380
"(40.720044, -73.999061)",34
"(40.7217139, -74.0053281)",8
"(40.7192474, -73.9902109)",0
"(40.7191047, -73.9902756)",0
"(40.7191862, -73.9905533)",0
"(40.7162425, -73.9920125)",0
"(40.7174257, -73.991418)",0
"(40.7343533, -73.9380409)",0
"(40.7345806, -73.93739)",0
"(40.734993, -73.936285)",0
"(40.736342, -73.932654)",0
"(40.735554, -73.93478)",0
"(40.7713322, -73.917997)",0
"(40.7695037, -73.9148517)",0
"(40.7698433, -73.916771)",0
"(40.742302, -73.9493078)",0
"(40.7089825, -73.9595471)",0
"(40.7091802, -73.9601272)",0
"(40.709552, -73.958862)",0
"(40.7088858, -73.9592632)",0
"(40.7106906, -73.9564585)",0
"(40.7099066, -73.958642)",0
"(40.7104935, -73.955501)",0
"(40.7105241, -73.955126)",0
"(40.7106168, -73.9550671)",0
"(40.7353444, -73.9526511)",0
"(40.7456627, -73.9460469)",0
"(40.7448676, -73.9480788)",0
"(40.714086, -73.9974137)",2
"(40.7150269, -73.9967552)",0
"(40.7142249, -73.9973158)",0
"(40.710656, -73.9852605)",0
"(40.7107224, -73.9847108)",0
"(40.7042568, -74.0062889)",0
"(40.7033242, -74.0077787)",0
"(40.7037691, -74.0070607)",12
"(40.6770933, -73.900386)",0
"(40.6789451, -73.9035789)",0
"(40.7487808, -73.9696886)",0
"(40.7374587, -73.974153)",0
"(40.7389627, -73.9730967)",0
"(40.7354184, -73.9751082)",160
"(40.7200288, -73.979265)",0
"(40.7189977, -73.9750709)",0
"(40.7221671, -73.9863325)",0
"(40.7190347, -73.987954)",3
"(40.7209878, -73.986948)",57
"(40.7198309, -73.9875431)",86
"(40.7159705, -73.9867308)",117
"(40.7162121, -73.9875258)",10
"(40.7297701, -73.9747286)",0
"(40.7922425, -73.9412507)",0
"(40.7931826, -73.940567)",70
"(40.8026929, -73.9333827)",0
"(40.8018404, -73.9313853)",0
"(40.7544696, -74.0066114)",0
"(40.7520763, -74.0009843)",302
"(40.8301026, -73.9394836)",0
"(40.8303383, -73.9400537)",0
"(40.827176, -73.9351693)",0
"(40.8276502, -73.9351572)",0
"(40.8277521, -73.9350819)",0
"(40.8259625, -73.9357897)",0
"(40.8260165, -73.9357437)",0
"(40.8258219, -73.936155)",0
"(40.8267488, -73.9355403)",0
"(40.850909, -73.938284)",86
"(40.7098319, -73.991777)",15
"(40.7101314, -73.9897846)",30
"(40.7217891, -73.9998554)",106
"(40.7221828, -74.0006571)",43
"(40.7450188, -73.9335569)",0
"(40.74516, -73.9335116)",0
"(40.7450944, -73.9334255)",0
"(40.7410379, -73.934312)",0
"(40.744155, -73.933687)",0
"(40.7455819, -73.9392201)",0
"(40.7449191, -73.9332431)",0
"(40.7532728, -74.003806)",105
"(40.7713252, -73.9937554)",0
"(40.7463878, -73.9746918)",0
"(40.7466082, -73.9745284)",0
"(40.7557911, -74.0019943)",256
"(40.7575036, -74.0007608)",0
"(40.7569672, -74.0047906)",0
"(40.756032, -74.002567)",0
"(40.7556578, -74.0016774)",0
"(40.747023, -74.004653)",70
"(40.748355, -74.003684)",112
"(40.74769, -74.004168)",204
"(40.7583702, -73.9943941)",249
"(40.7546186, -73.997152)",98
"(40.7552114, -73.9966605)",126
"(40.7515409, -73.9678549)",0
"(40.7493785, -73.969429)",0
"(40.7513711, -73.9679757)",25
"(40.7481001, -73.9702165)",0
"(40.7480648, -73.9703295)",0
"(40.7532392, -73.966552)",0
"(40.7516717, -73.9676897)",0
"(40.7525126, -73.9669158)",0
"(40.75931, -73.9652916)",430
"(40.7580217, -73.9662316)",112
"(40.7586402, -73.9657784)",99
"(40.8489191, -73.9370837)",80
